Contributor,Country,Deposited (USD million current),Fund focus,Fund,Pledged (USD million current)
Sweden,Sweden,46.71,Mitigation - General,Scaling Up Renewable Energy Program (SREP),46.71
Switzerland,Switzerland,26,Mitigation - General,Scaling Up Renewable Energy Program (SREP),26
United States,United States,290.04,Adaptation,Pilot Program for Climate Resilience (PPCR),290.04
United States,United States,50,Mitigation - General,Scaling Up Renewable Energy Program (SREP),50
Investment Income,Investment Income,18.76,Adaptation,Special Climate Change Fund (SCCF),18.76
Belgium,Belgium,41.21,Adaptation,Special Climate Change Fund (SCCF),41.21
Canada,Canada,12.89,Adaptation,Special Climate Change Fund (SCCF),12.89
United States,United States,50,Multiple Foci,Special Climate Change Fund (SCCF),50
Finland,Finland,17.95,Adaptation,Special Climate Change Fund (SCCF),17.95
Finland,Finland,0.37,Adaptation,Special Climate Change Fund (SCCF),0.37
Germany,Germany,120.45,Adaptation,Special Climate Change Fund (SCCF),120.45
United States,United States,1.3,Mitigation - General,Indonesia Climate Change Trust Fund (ICCTF),1.3
Ireland,Ireland,2.13,Adaptation,Special Climate Change Fund (SCCF),2.13
Italy,Italy,5,Adaptation,Special Climate Change Fund (SCCF),10
Netherlands,Netherlands,3.13,Adaptation,Special Climate Change Fund (SCCF),3.13
Norway,Norway,34.59,Adaptation,Special Climate Change Fund (SCCF),34.59
Portugal,Portugal,1.3,Adaptation,Special Climate Change Fund (SCCF),1.3
Spain,Spain,12.35,Adaptation,Special Climate Change Fund (SCCF),12.35
Sweden,Sweden,6.12,Adaptation,Special Climate Change Fund (SCCF),6.12
Switzerland,Switzerland,11.77,Adaptation,Special Climate Change Fund (SCCF),11.77
Switzerland,Switzerland,0.4,Adaptation,Special Climate Change Fund (SCCF),0.4
United States,United States,,Adaptation,Indonesia Climate Change Trust Fund (ICCTF),2.5
United States,United States,,Adaptation,Indonesia Climate Change Trust Fund (ICCTF),1.2
